,,,,,,,,,,,,,,
المحافظة ,متصل,,,غير متصل,,,الاجمالي ,,,,,,,
,اسر خاصة كويتية,اسر خاصة غير كويتية,جملة,اسر خاصة كويتية,اسر خاصة غير كويتية,جملة,اسر خاصة كويتية,اسر خاصة غير كويتية,جملة,,,,,
العاصمة,23071,8375,31446,4401,10300,14701,27472,18675,46147,,,,,
حولي,34055,72734,106789,6696,35498,42194,40751,108232,148983,,,,,
الأحمدي,26008,30904,56912,8054,21259,29313,34062,52163,86225,,,,,
الجهراء,14492,12843,27335,5956,14528,20484,20448,27371,47819,,,,,
الفروانية,26413,49007,75420,7794,76277,84071,34207,125284,159491,,,,,
مبارك الكبير,19553,2799,22352,3970,1304,5274,23523,4103,27626,,,,,
جملة الدولة,143592,176662,320254,36871,159166,196037,180463,335828,516291,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,47.2879347423993,159491,,,,,,,,,,,